Date,Adj Close,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_10,RSI,EMA_12,EMA_26,MACD,Signal_Line,BB_Mid,BB_Upper,BB_Lower,OBV
2018-01-02,4.929879665374756,4.983749866485596,4.987500190734863,4.862500190734863,4.894499778747559,355616000,,,0.012948966055918686,,4.983749866485596,4.983749866485596,0.34587885132461044,0.3107588545248338,,,,0.02633169468166166
2018-01-03,5.254334926605225,5.3117499351501465,5.34250020980835,5.09375,5.102499961853027,914704000,,,0.01342610716085857,,5.034211415510911,5.008046167868154,0.3476299264801908,0.3111661273809453,,,,0.0402324057423986
2018-01-04,5.2820329666137695,5.339749813079834,5.451250076293945,5.317249774932861,5.394000053405762,583268000,,,0.013857226709264009,,5.081217322829207,5.032616808254205,0.3491313775296994,0.31184115983593796,,,,0.04909630044382541
2018-01-05,5.326793670654297,5.385000228881836,5.422749996185303,5.276999950408936,5.354750156402588,580124000,,,0.01427578658302131,,5.127953154529611,5.058719283856251,0.35051223804106857,0.31270235248576206,,,,0.057912415934081224
2018-01-08,5.490012168884277,5.550000190734863,5.625,5.464499950408936,5.510000228881836,881216000,,,0.014858269806770665,,5.192883467791958,5.095110462143556,0.3524221825177602,0.31383552999578107,,,,0.07130421152926651
2018-01-09,5.488528251647949,5.548500061035156,5.5954999923706055,5.466000080108643,5.555500030517578,497000000,,,0.015332664753885193,,5.247593712906296,5.128694876876267,0.35383600122979186,0.31507090425467826,,,,0.0637513273206195
2018-01-10,5.531556606292725,5.5920000076293945,5.5954999923706055,5.400000095367432,5.454999923706055,582664000,,,0.015784085367659413,,5.3005792967098495,5.1630137754505725,0.35508524485202925,0.3163497583055452,,,,0.07260604306417504
2018-01-11,5.54144811630249,5.602000236511231,5.656750202178955,5.580249786376953,5.625,406032000,,,0.016167976821017338,,5.346951748986985,5.195531291084695,0.3560124684605716,0.3175884993414519,,,,0.07877649111448765
2018-01-12,5.514246940612793,5.57450008392334,5.624750137329102,5.5335001945495605,5.590000152587891,359916000,,,0.01644206540622202,,5.3819591851310395,5.223603053517187,0.35647662939989644,0.31868744878805955,,,,0.07330686561581681
2018-01-16,5.443270683288574,5.502749919891357,5.687749862670898,5.417250156402588,5.601250171661377,702348000,0.017045771697203584,,0.016561944869735154,,5.400542375094165,5.244280599174533,0.3563364673699715,0.3195340088363731,,,,0.06263331809433832
2018-01-17,5.557276725769043,5.618000030517578,5.627999782562256,5.422500133514404,5.517499923706055,538408000,0.017553325814560008,,0.016827682194035312,,5.4339973990054595,5.271963520014758,0.3567227578580723,0.32030110203665296,,,,0.07081547761347157
2018-01-18,5.550351619720459,5.611000061035156,5.665999889373779,5.566999912261963,5.598499774932861,408632000,0.01779279856857054,,0.017034920798280874,,5.461228577779259,5.297077337868121,0.3568644594828303,0.32094773419167044,,,,0.06460551749285215
2018-01-19,5.6905694007873535,5.752749919891357,5.777249813079834,5.675000190734863,5.702250003814697,609380000,0.018123298924058447,,0.017410682918863593,,5.506078015027274,5.330830862462435,0.35760703900058094,0.32163775236615827,,,,0.07386623495576024
2018-01-22,5.779101848602295,5.842249870300293,5.843999862670898,5.702499866485596,5.760749816894531,550944000,0.018489209650334567,,0.017848320069405246,0.9165336477094922,5.557796761992354,5.368713751931906,0.3585329857620067,0.3224051277261743,,,,0.08223890344157275
2018-01-23,5.908191204071045,5.972750186920166,5.995749950408936,5.877500057220459,5.896249771118164,475228000,0.01882751228444385,,0.01839622540281686,0.9287152679056873,5.621635750442787,5.413457191560665,0.3598109305221841,0.32331625809638637,,,,0.08946091965225063
2018-01-24,5.831282138824463,5.894999980926514,6.012249946594238,5.838749885559082,5.97599983215332,579972000,0.019104796345178702,,0.01873140850106817,0.8111127063523589,5.663691785901822,5.449127027809988,0.3602383185953793,0.3241445662135077,,,,0.08064711409841274
